Country,12/29/2019,1/5/2020,1/12/2020,1/19/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,2/23/2020,3/1/2020,3/8/2020,3/15/2020,3/22/2020,3/29/2020,4/5/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020,5/24/2020,5/31/2020,6/7/2020,6/14/2020,6/21/2020,6/28/2020,7/5/2020,7/12/2020,7/19/2020,7/26/2020,8/2/2020,8/9/2020,8/16/2020,8/23/2020,8/30/2020,9/6/2020,9/13/2020,9/20/2020,9/27/2020,10/4/2020,10/11/2020,10/18/2020,10/25/2020,11/1/2020,11/8/2020,11/15/2020,11/22/2020,11/29/2020,12/6/2020,12/13/2020,12/20/2020,12/27/2020,1/3/2021,1/10/2021,1/17/2021,1/24/2021,1/31/2021,2/7/2021,2/14/2021,2/21/2021,2/28/2021,3/7/2021,3/14/2021,3/21/2021,3/28/2021,4/4/2021,4/11/2021,4/18/2021,4/25/2021,5/2/2021,5/9/2021,5/16/2021,5/23/2021,5/30/2021,6/6/2021,6/13/2021,6/20/2021,6/27/2021,7/4/2021,7/11/2021,7/18/2021,7/25/2021,8/1/2021,8/8/2021,8/15/2021,8/22/2021,8/29/2021,9/5/2021,9/12/2021,9/19/2021,9/26/2021,10/3/2021,10/10/2021,10/17/2021,10/24/2021,10/31/2021,11/7/2021,11/14/2021,11/21/2021,11/28/2021,12/5/2021,12/12/2021,12/19/2021,12/26/2021,1/2/2022,1/9/2022,1/16/2022,1/23/2022,1/30/2022,2/6/2022,2/13/2022,2/20/2022,2/27/2022,3/6/2022,3/13/2022,3/20/2022,3/27/2022,4/3/2022,4/10/2022,4/17/2022,4/24/2022,5/1/2022,5/8/2022,5/15/2022,5/22/2022,5/29/2022,6/5/2022,6/12/2022,6/19/2022,6/26/2022,7/3/2022,7/10/2022,7/17/2022,7/24/2022,7/31/2022,8/7/2022,8/14/2022,8/21/2022,8/28/2022,9/4/2022,9/11/2022,9/18/2022,9/25/2022,10/2/2022,10/9/2022,10/16/2022,10/23/2022,10/30/2022,11/6/2022,11/13/2022,11/20/2022,11/27/2022,12/4/2022,12/11/2022,12/18/2022,12/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,0,2.78,5.951428571,26.98428571,70.96714286,77.31,75.72428571,75.46,79.43142857,81.02,81.02,79.43428571,79.16714286,72.55285714,62.49857143,56.94,56.94,56.94,56.94,81.94,81.94,81.94,79.82571429,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,62.63142857,46.76,71.88857143,67.66,54.17,53.90428571,60.24714286,64.48,77.44428571,63.43,63.43,67.13285714,80.35428571,81.94,79.29714286,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,78.24,63.95142857,56.81285714,56.02,52.05142857,51.39,48.61,74.20571429,78.24,78.24,78.24,68.71857143,63.95571429,68.98,69.51,72.69,73.74714286,76.39,74.80428571,71.10142857,72.42142857,76.39,74.40428571,74.40428571,79.17,79.17,79.17,79.17,75.99285714,74.40428571,79.17,79.17,79.17,79.17,77.58142857,77.58142857,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,78.64,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,78.64,78.64,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,79.17,74.80285714,59.85285714,50.33285714,49.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,0,1.985714286,2.78,2.78,3.572857143,16.26571429,19.44,21.82285714,31.61428571,42.19714286,41.13714286,40.74,40.74,41.53428571,44.84142857,46.16285714,47.22,47.22,47.22,44.44285714,40.74,35.18571429,29.49428571,28.7,28.7,25.93,25.93,25.93,25.93,27.91428571,34.26,33.46714286,32.41,32.41,32.41,32.41,33.60142857,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.45428571,37.04,37.04,37.04,41.00428571,42.59,42.59,42.59,45.76714286,49.14285714,49.54,49.54,49.54,49.54,49.54,49.54,49.73857143,48.15,44.97285714,42.59,42.59,42.59,43.38428571,45.37,45.37,49.07,49.07,49.07,49.07,49.07,49.07,54.23,55.09,53.50428571,53.24,52.04857143,50.46,50.46,50.46,50.46,50.46,50.72428571,52.31,52.31,52.31,50.72428571,52.04571429,49.79857143,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,45.63428571,45.37,45.37,45.37,45.37,45.37,45.37,45.37,45.37,43.73428571,43.08,41.49428571,37.52428571,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.52,37.51857143,37.51,37.24142857,37.04,37.04,32.27428571,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,32.53714286,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,0,0,0,0,2.381428571,27.77714286,31.48,35.44857143,54.76571429,55.56,55.56,57.54285714,75.93,76.32571429,81.88,81.08714286,47.75285714,43.52,43.52,43.52,41.4,44.17571429,55.09,53.50428571,53.24,53.24,54.29714286,53.24,53.24,53.24,53.24,53.24,53.24,53.24,53.24,51.65142857,50.46,50.46,48.87428571,58.93142857,63.36142857,57.40428571,56.94,51.39,51.39,51.39,51.39,55.75428571,59.85571429,58.66428571,57.87,64.48285714,66.79857143,64.41857143,63.89,63.89,63.89,63.89,63.89,63.89,63.89,59.12428571,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,52.38142857,50,50,50,50,50,50,50,44.24428571,36.57,45.69857143,49.07,49.07,49.60142857,50.93,50.93,49.68571429,49.18714286,45.71428571,44.96285714,44.81714286,44.53,44.15857143,43.83428571,43.52285714,43.24428571,42.65428571,42.51,42.45,40.82285714,43.29571429,44.44428571,44.60714286,46.16285714,46.40285714,46.36571429,46.31142857,46.27142857,46.24714286,45.44142857,41.85571429,41.58142857,41.57714286,40.97714286,40.74,40.74,40.74,39.94571429,37.96,37.96,17.32857143,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.49285714,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,10.4175,13.89,13.89,16.26857143,19.44,21.02857143,25,25,25,25,29.23142857,39.81,42.19285714,48.01571429,71.56285714,82.41,82.41,82.41,82.41,79.76,78.7,78.7,73.41428571,71.3,67.06571429,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,54.10142857,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,50.93,52.25142857,52.78,55.95142857,58.33,58.33,58.33,58.33,58.33,55.15857143,51.98714286,50.93,50.17571429,50.93,50.93,46.37285714,44.26857143,44.10571429,43.96714286,43.84428571,43.75142857,43.68428571,46.79428571,47.27714286,47.23,47.19142857,43.07285714,42.89,42.86714286,42.84857143,42.83285714,42.81571429,42.80285714,42.78857143,42.77714286,42.90285714,43.69428571,43.68,45.63857143,46.37428571,46.29857143,45.87285714,43.73428571,43.64571429,43.58,43.53714286,46.26857143,46.69428571,46.66285714,46.63857143,46.61428571,43.95571429,32.58714286,28.45428571,28.43571429,28.41,28.38714286,28.36857143,28.35714286,28.34857143,28.33714286,28.33,28.32571429,28.32,28.32,28.31857143,28.31,28.31,28.31,28.30571429,20.05428571,18.67285714,18.67,18.67,18.67,18.67,17.74428571,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0.794285714,10.19,10.19,10.19,10.19,10.19,17.33,31.08428571,44.44,96.16285714,100,100,100,96.82857143,96.3,83.99142857,81.94,81.94,81.94,86.70571429,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.23571429,85.65,85.65,85.65,85.65,83,77.18285714,76.39,71.62428571,70.83,70.83,66.86142857,61.57,59.59142857,58.8,58.8,59.85714286,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,63.68714286,61.57,61.57,61.57,62.63285714,63.43,59.45857143,57.87,57.87,60.25142857,70.57142857,69.91,73.08142857,73.61,73.61,80.75,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,79.82571429,75.06857143,74.54,74.54,69.60857143,69.50857143,69.34857143,66.02571429,63.45571429,63.19714286,62.98,62.78571429,60.61142857,59.65285714,54.65857143,53.65714286,49.51428571,49.66428571,56.24142857,57.55285714,58.20142857,56.67714286,55.82571429,60.27571429,68.62714286,68.49142857,73.42428571,77.14571429,75.04,70.75857143,65.39285714,64.39714286,57.69857143,54.98,48.97428571,46.05714286,42.26571429,49.00571429,50.46,50.46,40.87428571,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,37.04,33.06857143,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,29.49428571,28.7,28.7,28.7,28.7,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,0,0,0,0,0,5.56,7.538571429,8.33,8.33,15.07857143,25.52857143,58.66285714,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,69.51,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.58285714,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,68.58285714,74.53428571,75.46,73.34571429,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,69.64571429,68.06,68.06,68.06,66.47,64.35,64.35,60.38571429,56.08571429,54.73714286,54.52285714,54.33714286,54.15571429,53.98,59.24428571,60.65,56.02,56.02,53.71428571,57.73,58.87142857,58.83285714,53.64428571,46.73714286,46.70857143,46.68285714,46.65714286,49.36285714,53.46142857,55.73428571,54.20714286,52.43,52.38,52.33428571,52.29571429,52.26285714,52.23,52.20285714,52.17857143,52.15428571,50.22428571,51.06285714,51.98571429,50.42,48.56571429,48.49428571,48.44428571,49.78285714,47.60857143,47.54,46.46428571,45.64,45.58,45.51857143,45.46857143,45.42714286,37.23285714,34.62285714,36.71857143,38.28714286,33.47,29.85142857,29.83,29.01714286,27.93714286,27.91714286,27.10714286,26.49714286,26.48285714,26.46714286,32.01428571,32.00142857,31.99142857,31.98142857,31.62714286,30.75571429,30.74571429,30.73428571,32.04571429,32.56428571,27.79428571,24.21142857,24.20285714,24.19714286,24.18428571,24.16857143,24.15428571,24.14,24.12428571,24.10857143,24.09428571,27.43285714,28.76142857,28.75285714,28.74428571,28.74,28.73142857,28.72714286,28.72,28.71714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,0,0,0,1.588571429,2.78,2.78,2.78,2.78,2.78,2.78,12.96285714,54.76142857,74.34142857,75.33285714,74.54,74.54,74.54,74.54,74.54,72.95428571,72.69,70.83,70.83,70.83,70.83,69.24428571,68.98,68.18714286,67.13,67.13,67.13,67.13,67.13,67.13,65.93857143,67.13,64.48714286,63.43,63.43,63.43,65.28,65.28,65.28,65.28,66.33714286,68.98,71.1,72.69,72.69,72.69,72.69,72.69,72.69,74.27285714,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,74.93142857,71.76,71.76,73.34571429,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.19571429,73.61,73.61,73.61,72.55285714,69.91,69.91,67.94428571,65.11571429,64.66857143,62.37,61.27571429,60.87571429,64.43571429,68.85142857,66.01285714,65.66857143,65.05857143,64.98142857,64.91,64.85,64.26,61.13,64.07571429,64.41714286,63.47,64.62285714,67.42857143,60.38714286,59.64,60.02142857,65.51571429,71.32142857,71.82571429,70.21,71.75142857,70.10428571,66.07857143,66.03428571,55.83857143,46.01714286,44.37857143,39.69571429,38.87714286,36.44714286,34.43142857,23.07857143,21.45571429,21.42285714,21.40571429,21.39428571,21.37857143,20.28142857,19.25142857,18.80714286,18.79857143,17.05,16.76,16.75142857,16.75,17.53714286,16.74,16.73857143,19.11285714,19.50857143,19.5,17.11714286,18.70142857,19.49,19.49,13.92,8.33,5.955714286,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,0,0,0,0,0,0,0,0,0.794285714,2.78,2.78,3.572857143,46.42857143,79.76428571,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,74.07857143,72.15857143,70.83,70.83,70.83,70.83,70.83,70.83,70.83,70.83,70.83,72.42,74.54,74.54,72.42285714,67.92428571,72.55285714,73.61,73.08142857,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,69.77428571,65.01142857,61.70714286,51.05714286,47.22,47.22,47.22,47.22,47.22,44.83714286,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,63.88857143,67.13,67.13,67.13,67.13,62.36428571,42.13,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,35.71857143,31.21857143,34.39571429,35.19,35.19,37.43428571,39.03,38.92571429,47.13428571,48.48571429,38.32714286,36.61571429,36.60428571,36.6,38.39142857,38.67714286,27.55142857,25.69,25.69,25.68428571,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67,19.89857143,19.17571429,21.82285714,30.15857143,33.33,33.33,33.33,33.33,33.33,33.33,19.44285714,15.74,14.15428571,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,0,0,0,0.794285714,6.75,18.64714286,19.44,19.44,19.44,19.44,19.44,36.50714286,65.21428571,72.09285714,73.15,71.03,69.44,69.44,69.44,68.18428571,66.73285714,65.01571429,62.23857143,57.93857143,50.46,51.78142857,61.83571429,72.68285714,70.70285714,68.06,68.06,74.93142857,75.46,75.46,75.46,75.46,75.46,75.46,75.46,69.11714286,68.06,68.06,68.06,64.35428571,62.5,64.35,64.35,64.35,63.02857143,62.5,63.69,70.83,70.83,70.83,57.33857143,55.09,55.09,72.95,61.31,65.67285714,52.84285714,50.46,50.46,45.70285714,46.49571429,59.58857143,46.76,45.96714286,45.30285714,58.93,48.08142857,40.93857143,36.96714286,51.65285714,74.40285714,66.46857143,53.24,55.35714286,69.11714286,68.06,68.06,68.06,68.06,68.06,69.64571429,71.76,71.76,71.76,71.76,71.76,71.76,71.76,72.55428571,74.54,71.89428571,63.69428571,60.34142857,59.69714286,69.9,71.81571429,73.46428571,73.43285714,56.37,47.22,47.17285714,49.50428571,51.02428571,52.96142857,55.29714286,46.79,46.73142857,37.57571429,35.66857143,36.50571429,37.99714286,37.79714286,37.58714286,40.32857143,44.11142857,42.87571429,41.26428571,40.44428571,38.43714286,38.42285714,35.11714286,23.68,23.67142857,23.67,18.90428571,15.33,15.33,12.91857143,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,0,0,0,6.348571429,11.11,19.44,19.44,19.44,19.44,19.44,19.44,37.3,86.37714286,96.3,96.3,96.3,96.3,87.56571429,83.33,64.67857143,39.81,39.01857143,37.04,24.33714286,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,48.94,68.98,71.76,51.91714286,48.61,48.61,42.39142857,41.2,30.35428571,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,46.82428571,27.11428571,62.5,32.47,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,75.13428571,96.3,96.3,85.38571429,81.02,81.02,81.02,81.02,81.02,81.02,81.02,81.02,79.03428571,78.24,76.12571429,71.89428571,65.28,58.15428571,52.71571429,52.65428571,52.60714286,52.55,50.52,50.14571429,50.10857143,50.08142857,50.05285714,50.02571429,47.08142857,42.29285714,42.22571429,42.10285714,42,41.94571429,26.91857143,15.66,15.64857143,15.64,15.64,15.63428571,15.63,15.21571429,15.04714286,15.04,15.04,15.04,15.03285714,15.03,15.03,15.02142857,15.02,15.02,15.02,15.02,15.02,15.02,11.66857143,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
