"Country","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9","Week_10","Week_11","Week_12","Week_13","Week_14","Week_15","Week_16","Week_17","Week_18","Week_19","Week_20","Week_21","Week_22","Week_23","Week_24","Week_25","Week_26","Week_27","Week_28","Week_29","Week_30","Week_31","Week_32","Week_33","Week_34","Week_35","Week_36","Week_37","Week_38","Week_39","Week_40","Week_41","Week_42","Week_43","Week_44","Week_45","Week_46","Week_47","Week_48","Week_49","Week_50","Week_51","Week_52","Week_53","Week_54","Week_55","Week_56","Week_57","Week_58","Week_59","Week_60","Week_61","Week_62","Week_63","Week_64","Week_65","Week_66","Week_67","Week_68","Week_69","Week_70","Week_71","Week_72","Week_73","Week_74","Week_75","Week_76","Week_77","Week_78","Week_79","Week_80","Week_81","Week_82","Week_83","Week_84","Week_85","Week_86","Week_87","Week_88","Week_89","Week_90","Week_91","Week_92","Week_93","Week_94","Week_95","Week_96","Week_97","Week_98","Week_99","Week_100","Week_101","Week_102","Week_103","Week_104","Week_105","Week_106","Week_107","Week_108","Week_109","Week_110","Week_111","Week_112","Week_113","Week_114","Week_115","Week_116","Week_117","Week_118","Week_119","Week_120","Week_121","Week_122","Week_123","Week_124","Week_125","Week_126","Week_127","Week_128","Week_129","Week_130","Week_131","Week_132","Week_133","Week_134","Week_135","Week_136","Week_137","Week_138","Week_139","Week_140","Week_141","Week_142","Week_143","Week_144","Week_145","Week_146","Week_147","Week_148","Week_149","Week_150","Week_151","Week_152","Week_153","Week_154","Week_155","Week_156","Week_157","Week_158","Week_159","Week_160","Week_161","Week_162","Week_163","Week_164","Week_165","Week_166","Week_167","Week_168","Week_169","Week_170","Week_171","Week_172","Week_173","Week_174","Week_175","Week_176","Week_177","Week_178","Week_179","Week_180","Week_181","Week_182","Week_183","Week_184","Week_185","Week_186","Week_187","Week_188","Week_189","Week_190","Week_191","Week_192","Week_193","Week_194","Week_195","Week_196","Week_197","Week_198","Week_199","Week_200","Week_201","Week_202","Week_203","Week_204","Week_205","Week_206","Week_207","Week_208","Week_209","Week_210","Week_211","Week_212","Week_213","Week_214","Week_215","Week_216","Week_217","Week_218","Week_219","Week_220","Week_221","Week_222","Week_223","Week_224","Week_225","Week_226","Week_227","Week_228","Week_229","Week_230","Week_231","Week_232","Week_233","Week_234","Week_235","Week_236","Week_237","Week_238","Week_239","Week_240","Week_241","Week_242","Week_243","Week_244"
"CN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56411.2317073171,21074.4946236559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8164.61538461538,0,0,0,0,0,674.5,0,759.811764705882,120.316666666667,696.138888888889,241.825613079019,59.537106918239,153.815910585141,83.1235955056179,35.6889460154239,69.4045478582758,52.8716724802641,59.7781350482314,18.1336977086399,31.611160318866,0,0,11.3039647577093,0,4.59771629336847,4.85664182376151,0,5.12983493471298,4.24805290227774,0,22.4599811676083,0,9.04172469823584,50.363309352518,34.1995323460639,0,0,0,0,7.9450402144772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KR",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4844,0,0,0,0,0,0,0,0,199.8125,218.428571428571,0,86.1904761904762,0,0,36.4,0,0,0,0,0,0,54.2985074626865,83.6120689655172,13.1161290322581,25.231884057971,0,32.1309904153354,17.7394822006472,0,0,0,17.7959479015918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SG",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28205128205128,5.55555555555555,5.5625,0,2.27956989247312,0,0,0,0,0,3.13725490196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747.979919678713,0,357.761573125768,0,0,0,0,783.097081010167,0,0,0,0,0,0,0,0,0,0,0,0,160.823052959502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54793,0,25645.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92619.5,25727.427184466,11970.31678487,2968.40277777777,5450.27247956403,4927.88920293951,3150.56558935361,4235.23241508425,7960.13389121339,9257.5185681237,11825.3831063928,18785.0376449599,27154.4488017429,32076.4738558578,39527.084356311,37605.3993981411,37149.7324609233,33869.8311317239,30227.1409287257,24760.9826046074,21606.3108743641,14691.9795700202,12651.1538866099,8609.4367376473,7685.35556314576,5747.1742535487,9796.32736594038,4518.75931093394,4146.13159800226,3778.15573567116,3622.08209422541,2178.35540189159,1637.6386273737,1216.960499316,514.406108687029,284.355650308536,411.821253197683,85.3887924125033,113.027304605055,100.095499021526,42.5728544008774,63.907956626333,55.1345744123502,131.451096583041,42.9849871163846,0,95.4838917655592,10.6831818375795,12.7766828357638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1026086956522,0,0,0,36.9592979349496,0,0,0,0,0,0,0,19.3869115613539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43504,0,0,0,0,0,0,0,0,0,87.4031007751937,51.7346938775509,438.645739910314,638.86299765808,1622.60355781449,3552.58759883479,6919.97929292929,12991.0456431535,16371.4213399504,16871.938172043,14384.6662958843,15849.1329479769,13966.5976168653,12534.3648648649,9574.15384615385,5754.88173710741,4309.40527577938,1777.08847299022,1094.37750816612,622.990415335463,533.592007434944,466.092555331992,307.527306967985,167.650300601202,103.772801038624,88.2183931075937,62.4054786702809,62.3151750972761,35.396351955948,68.4239873750657,4.72840809146878,15.484561752988,0,0,5.35142857142857,0,0,9.36413514293965,0,0,7.49670908293111,0,2.44111245465538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MX",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70250,0,0,30041,20532.6666666667,0,0,7034,2512,2450.35714285714,3329.64705882353,4777.33333333333,10243.1724137931,4001.69230769231,8021.3625,6840.86538461538,6454.86046511628,5912.24137931034,6100.92765957447,7761.46288209607,7308.47727272727,9016.1024691358,11075.8849929874,10154.9737762238,10033.4056029233,6518.12012012012,8700.94736842105,7460.28968713789,6500.38569424965,6751.5672,3783.85755395683,2277.65730337079,1762.68380660015,977.990506329114,646.977777777777,274.649864986499,168.654704170708,44.7665399239544,70.7636363636359,0,0,0,0,0,0,26.0635400907716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,2,0,3.87878787878788,0,1.78125,1.06542056074766,2.85436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15384615384615,2.5,3.55555555555556,0,0,4.22222222222222,0,0,0,0,9,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
