"Country","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9","Week_10","Week_11","Week_12","Week_13","Week_14","Week_15","Week_16","Week_17","Week_18","Week_19","Week_20","Week_21","Week_22","Week_23","Week_24","Week_25","Week_26","Week_27","Week_28","Week_29","Week_30","Week_31","Week_32","Week_33","Week_34","Week_35","Week_36","Week_37","Week_38","Week_39","Week_40","Week_41","Week_42","Week_43","Week_44","Week_45","Week_46","Week_47","Week_48","Week_49","Week_50","Week_51","Week_52","Week_53","Week_54","Week_55","Week_56","Week_57","Week_58","Week_59","Week_60","Week_61","Week_62","Week_63","Week_64","Week_65","Week_66","Week_67","Week_68","Week_69","Week_70","Week_71","Week_72","Week_73","Week_74","Week_75","Week_76","Week_77","Week_78","Week_79","Week_80","Week_81","Week_82","Week_83","Week_84","Week_85","Week_86","Week_87","Week_88","Week_89","Week_90","Week_91","Week_92","Week_93","Week_94","Week_95","Week_96","Week_97","Week_98","Week_99","Week_100","Week_101","Week_102","Week_103","Week_104","Week_105","Week_106","Week_107","Week_108","Week_109","Week_110","Week_111","Week_112","Week_113","Week_114","Week_115","Week_116","Week_117","Week_118","Week_119","Week_120","Week_121","Week_122","Week_123","Week_124","Week_125","Week_126","Week_127","Week_128","Week_129","Week_130","Week_131","Week_132","Week_133","Week_134","Week_135","Week_136","Week_137","Week_138","Week_139","Week_140","Week_141","Week_142","Week_143","Week_144","Week_145","Week_146","Week_147","Week_148","Week_149","Week_150","Week_151","Week_152","Week_153","Week_154","Week_155","Week_156","Week_157","Week_158","Week_159","Week_160","Week_161","Week_162","Week_163","Week_164","Week_165","Week_166","Week_167","Week_168","Week_169","Week_170","Week_171","Week_172","Week_173","Week_174","Week_175","Week_176","Week_177","Week_178","Week_179","Week_180","Week_181","Week_182","Week_183","Week_184","Week_185","Week_186","Week_187","Week_188","Week_189","Week_190","Week_191","Week_192","Week_193","Week_194","Week_195","Week_196","Week_197","Week_198","Week_199","Week_200","Week_201","Week_202","Week_203","Week_204","Week_205","Week_206","Week_207","Week_208","Week_209","Week_210","Week_211","Week_212","Week_213","Week_214","Week_215","Week_216","Week_217","Week_218","Week_219","Week_220","Week_221","Week_222","Week_223","Week_224","Week_225","Week_226","Week_227","Week_228","Week_229","Week_230","Week_231","Week_232","Week_233","Week_234","Week_235","Week_236","Week_237","Week_238","Week_239","Week_240","Week_241","Week_242","Week_243","Week_244"
"CN",NA,1,44,80,1860,12426,22840,31333,8458,2926,891,189,450,843,589,552,719,137,55,37,54,41,45,59,100,268,193,116,216,415,902,1463,847,0,380,210,166,149,174,126,155,184,184,185,247,274,233,220,681,831,790,766,608,0,680,0,1342,0,342,220,164,220,181,262,176,0,210,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",NA,0,0,1,2,12,10,27,80,107,216,325,266,647,1578,3477,3613,2821,1657,908,538,265,301,290,288,435,526,1132,1980,3140,4740,7307,10094,7931,7033,5517,4155,3799,3439,3033,3649,3573,3744,3878,4612,5940,9591,13502,14474,0,17189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KR",NA,0,0,1,2,12,12,3,526,2970,3608,1028,735,686,654,275,149,67,65,81,176,140,278,308,308,337,294,374,328,328,405,216,232,720,2081,2300,1478,999,799,636,480,515,593,637,799,791,1118,2126,3091,3776,5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SG",NA,0,0,0,4,14,22,32,17,13,36,74,220,370,387,1110,3693,6701,4855,4912,4896,3712,3298,3161,2670,1636,1413,1418,1118,1873,2233,2624,2417,732,605,451,265,375,201,127,115,66,38,61,50,39,62,32,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",NA,0,0,0,0,2,5,0,0,0,32,68,253,619,2395,4982,7356,10784,0,22959,27988,0,50275,0,74294,0,118398,144306,0,228065,0,0,402287,0,455258,0,0,0,0,0,0,504433,440745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",NA,0,0,0,7,2,11,4,16,33,391,0,0,94894,0,0,0,0,198436,0,0,0,146436,0,151876,180021,0,342166,0,0,0,0,0,0,315788,0,0,0,280977,304774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",NA,0,0,0,1,3,3,0,2,6,36,125,795,3704,7844,9614,9739,12005,11173,11372,0,7867,6938,4917,3608,2686,2165,2296,2035,2544,3535,3105,2672,2682,2720,2938,3814,4502,6285,8545,12203,15458,15989,17626,0,0,31509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MX",NA,0,0,0,0,0,0,0,1,5,45,183,669,1214,2134,3291,5958,9264,11571,15196,19538,24187,26973,30556,34822,37587,39306,43553,44406,49775,50177,45999,41814,39452,37867,39230,38873,35339,29659,0,32636,33071,38778,44301,42679,40741,48200,44816,56457,64076,73050,77433,64816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",NA,0,0,0,4,8,3,0,7,3,45,179,832,2728,1826,654,297,117,80,146,107,70,79,70,47,134,205,721,1191,1888,2509,3332,3416,2337,1567,945,660,400,278,131,105,123,139,116,91,62,59,96,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",NA,0,0,0,0,0,0,0,0,1,4,3,58,410,396,177,49,23,15,8,5,5,0,0,0,5,17,7,11,9,3,9,4,52,53,54,43,25,18,13,21,17,15,49,25,23,18,28,24,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
