month,sample_size,nucleotide_diversity,country
2019-12-01,22,1.4271442842871414e-4,China
2020-01-01,416,1.384505719551263e-4,China
2020-02-01,579,2.3692966974286464e-4,China
2020-03-01,290,3.133656617471341e-4,China
2020-04-01,84,2.454656100350463e-4,China
2020-05-01,5,2.0931449502878077e-4,China
2020-06-01,18,4.6343323654248023e-4,China
2020-07-01,9,1.598930170358742e-4,China
2020-08-01,35,8.597412287190085e-4,China
2020-09-01,14,4.83045489633473e-4,China
2020-10-01,13,1.6101115002213905e-4,China
2020-12-01,9,7.414210782812869e-4,China
2021-01-01,19,0.00111548516670509,China
2021-03-01,47,3.343174900587319e-4,China
2021-04-01,66,0.00104287014062489,China
2021-05-01,95,0.00171652730739852,China
2021-06-01,120,0.00104315097799907,China
2021-07-01,119,0.00113849838045578,China
2021-08-01,111,7.1358051246143e-4,China
2021-09-01,266,2.757022004746525e-4,China
2021-10-01,98,0.00111735353551045,China
2021-11-01,229,3.865905316811147e-4,China
2021-12-01,80,0.00454876379287392,China
2022-01-01,392,0.00409078737385225,China
2022-02-01,193,0.00286223160991161,China
2022-03-01,714,6.472901244536897e-4,China
2022-04-01,337,8.039652590491657e-4,China
2022-05-01,737,1.843809696102924e-4,China
2022-06-01,259,0.00141569765769679,China
2022-07-01,265,9.577451084793816e-4,China
2022-08-01,687,4.612602697787603e-4,China
2022-09-01,456,4.4293765598268193e-4,China
2022-10-01,548,7.7104661585919e-4,China
2022-11-01,981,5.005001962866879e-4,China
2022-12-01,984,6.08694820423911e-4,China
2023-01-01,990,5.358251622102243e-4,China
2023-02-01,986,7.586750705126637e-4,China
2023-03-01,990,0.00109348189075787,China
2023-04-01,948,0.00289537935152719,China
2023-05-01,934,0.00140765488080927,China
2023-06-01,925,0.00138213116540232,China
2023-07-01,937,0.00142019336329723,China
2023-08-01,930,0.00116327266356853,China
2023-09-01,904,0.00102513745885184,China
2023-10-01,899,0.00107727146417286,China
2023-11-01,916,0.00169221799204266,China
2023-12-01,781,0.00534151333305257,China
2024-01-01,733,0.0057716768759702,China
2024-02-01,889,0.00161190605488697,China
2024-03-01,905,0.00100194023913046,China
2024-04-01,901,8.624845853346735e-4,China
2024-05-01,889,0.00103282951143487,China
2024-06-01,850,9.68284453829404e-4,China
2024-07-01,898,0.00110704013619242,China
2024-08-01,886,0.00129288659692381,China
2024-09-01,757,0.00148199232853644,China
2024-10-01,283,0.00163080260400555,China
2024-11-01,143,0.00182103332373148,China
2024-12-01,188,0.00168003627685685,China
2025-01-01,43,0.00129090791912923,China
2025-02-01,64,0.00222679436970898,China
2020-01-01,11,4.757147614290472e-5,Japan
2020-02-01,134,7.017639851971202e-5,Japan
2020-03-01,653,1.872195628541716e-4,Japan
2020-04-01,981,1.086802223133146e-4,Japan
2020-05-01,447,1.769614777438437e-4,Japan
2020-06-01,422,2.985222593570847e-4,Japan
2020-07-01,973,1.9554514303830132e-4,Japan
2020-08-01,977,2.4215664792893752e-4,Japan
2020-09-01,982,3.344395480877649e-4,Japan
2020-10-01,986,3.700140912227404e-4,Japan
2020-11-01,986,3.567166627626388e-4,Japan
2020-12-01,985,4.469690882451783e-4,Japan
2021-01-01,970,6.717728373450361e-4,Japan
2021-02-01,982,0.00104004140523985,Japan
2021-03-01,992,0.00152139098324209,Japan
2021-04-01,973,0.00112181439931944,Japan
2021-05-01,968,7.524860619859839e-4,Japan
2021-06-01,919,0.00103593113653201,Japan
2021-07-01,923,0.00175363159475223,Japan
2021-08-01,898,5.700421498014752e-4,Japan
2021-09-01,934,3.47219394125345e-4,Japan
2021-10-01,971,4.834179344885021e-4,Japan
2021-11-01,809,6.665986571794164e-4,Japan
2021-12-01,988,0.00452354662101512,Japan
