date,country,p_distance,sample_size,year_month_day
2019-12-01,China,0,NA,2019-12-01
2019-12-02,China,0,NA,2019-12-02
2019-12-03,China,0,NA,2019-12-03
2019-12-04,China,0,NA,2019-12-04
2019-12-05,China,0,NA,2019-12-05
2019-12-06,China,0,NA,2019-12-06
2019-12-07,China,0,NA,2019-12-07
2019-12-08,China,0,NA,2019-12-08
2019-12-09,China,0,NA,2019-12-09
2019-12-10,China,0,NA,2019-12-10
2019-12-11,China,0,NA,2019-12-11
2019-12-12,China,0,NA,2019-12-12
2019-12-13,China,0,NA,2019-12-13
2019-12-14,China,0,NA,2019-12-14
2019-12-15,China,0,NA,2019-12-15
2019-12-16,China,0,NA,2019-12-16
2019-12-17,China,0,NA,2019-12-17
2019-12-18,China,0,NA,2019-12-18
2019-12-19,China,0,NA,2019-12-19
2019-12-20,China,0,NA,2019-12-20
2019-12-21,China,0,NA,2019-12-21
2019-12-22,China,0,NA,2019-12-22
2019-12-23,China,0,NA,2019-12-23
2019-12-24,China,0,NA,2019-12-24
2019-12-25,China,0,NA,2019-12-25
2019-12-26,China,0,NA,2019-12-26
2019-12-27,China,0,NA,2019-12-27
2019-12-28,China,0,NA,2019-12-28
2019-12-29,China,0,NA,2019-12-29
2019-12-30,China,0,NA,2019-12-30
2019-12-31,China,0,NA,2019-12-31
2020-01-01,China,0,NA,2020-01-01
2020-01-02,China,0,NA,2020-01-02
2020-01-03,China,0,NA,2020-01-03
2020-01-04,China,0,NA,2020-01-04
2020-01-05,China,0,NA,2020-01-05
2020-01-06,China,0,NA,2020-01-06
2020-01-07,China,0,NA,2020-01-07
2020-01-08,China,0,NA,2020-01-08
2020-01-09,China,0,NA,2020-01-09
2020-01-10,China,0,NA,2020-01-10
2020-01-11,China,0,NA,2020-01-11
2020-01-12,China,0,NA,2020-01-12
2020-01-13,China,0,NA,2020-01-13
2020-01-14,China,0,NA,2020-01-14
2020-01-15,China,0,NA,2020-01-15
2020-01-16,China,0,NA,2020-01-16
2020-01-17,China,0,NA,2020-01-17
2020-01-18,China,0,NA,2020-01-18
2020-01-19,China,0,NA,2020-01-19
2020-01-20,China,0,NA,2020-01-20
2020-01-21,China,0,NA,2020-01-21
2020-01-22,China,0,NA,2020-01-22
2020-01-23,China,0,NA,2020-01-23
2020-01-24,China,0,NA,2020-01-24
2020-01-25,China,0,NA,2020-01-25
2020-01-26,China,0,NA,2020-01-26
2020-01-27,China,0,NA,2020-01-27
2020-01-28,China,0,NA,2020-01-28
2020-01-29,China,0,NA,2020-01-29
2020-01-30,China,0,NA,2020-01-30
2020-01-31,China,0,NA,2020-01-31
2020-02-01,China,0,NA,2020-02-01
2020-02-02,China,3.4489336827217243e-6,NA,2020-02-02
2020-02-03,China,6.897867365443449e-6,NA,2020-02-03
2020-02-04,China,1.0346801048165172e-5,NA,2020-02-04
2020-02-05,China,1.3795734730886897e-5,NA,2020-02-05
2020-02-06,China,1.724466841360862e-5,NA,2020-02-06
2020-02-07,China,2.0693602096330343e-5,NA,2020-02-07
2020-02-08,China,2.414253577905207e-5,NA,2020-02-08
2020-02-09,China,2.7591469461773794e-5,NA,2020-02-09
2020-02-10,China,3.1040403144495517e-5,NA,2020-02-10
2020-02-11,China,3.448933682721724e-5,NA,2020-02-11
2020-02-12,China,3.793827050993896e-5,NA,2020-02-12
2020-02-13,China,4.1387204192660686e-5,NA,2020-02-13
2020-02-14,China,4.483613787538241e-5,NA,2020-02-14
2020-02-15,China,4.828507155810414e-5,NA,2020-02-15
2020-02-16,China,5.173400524082586e-5,NA,2020-02-16
2020-02-17,China,5.518293892354759e-5,NA,2020-02-17
2020-02-18,China,5.863187260626931e-5,NA,2020-02-18
2020-02-19,China,6.208080628899103e-5,NA,2020-02-19
2020-02-20,China,6.552973997171276e-5,NA,2020-02-20
2020-02-21,China,6.897867365443448e-5,NA,2020-02-21
2020-02-22,China,7.242760733715621e-5,NA,2020-02-22
2020-02-23,China,7.587654101987792e-5,NA,2020-02-23
2020-02-24,China,7.932547470259966e-5,NA,2020-02-24
2020-02-25,China,8.277440838532137e-5,NA,2020-02-25
2020-02-26,China,8.62233420680431e-5,NA,2020-02-26
2020-02-27,China,8.967227575076482e-5,NA,2020-02-27
2020-02-28,China,9.312120943348655e-5,NA,2020-02-28
2020-02-29,China,9.657014311620828e-5,NA,2020-02-29
2020-03-01,China,1.0001907679893e-4,NA,2020-03-01
2020-03-02,China,1.0223006193855226e-4,NA,2020-03-02
2020-03-03,China,1.0444104707817451e-4,NA,2020-03-03
2020-03-04,China,1.0665203221779677e-4,NA,2020-03-04
2020-03-05,China,1.0886301735741903e-4,NA,2020-03-05
2020-03-06,China,1.110740024970413e-4,NA,2020-03-06
2020-03-07,China,1.1328498763666354e-4,NA,2020-03-07
2020-03-08,China,1.1549597277628581e-4,NA,2020-03-08
2020-03-09,China,1.1770695791590807e-4,NA,2020-03-09
2020-03-10,China,1.1991794305553032e-4,NA,2020-03-10
2020-03-11,China,1.2212892819515257e-4,NA,2020-03-11
2020-03-12,China,1.2433991333477484e-4,NA,2020-03-12
2020-03-13,China,1.265508984743971e-4,NA,2020-03-13
2020-03-14,China,1.2876188361401935e-4,NA,2020-03-14
2020-03-15,China,1.3097286875364162e-4,NA,2020-03-15
2020-03-16,China,1.3318385389326387e-4,NA,2020-03-16
2020-03-17,China,1.3539483903288614e-4,NA,2020-03-17
2020-03-18,China,1.3760582417250838e-4,NA,2020-03-18
2020-03-19,China,1.3981680931213065e-4,NA,2020-03-19
2020-03-20,China,1.420277944517529e-4,NA,2020-03-20
2020-03-21,China,1.4423877959137516e-4,NA,2020-03-21
2020-03-22,China,1.4644976473099743e-4,NA,2020-03-22
2020-03-23,China,1.4866074987061968e-4,NA,2020-03-23
2020-03-24,China,1.5087173501024195e-4,NA,2020-03-24
2020-03-25,China,1.530827201498642e-4,NA,2020-03-25
2020-03-26,China,1.5529370528948646e-4,NA,2020-03-26
2020-03-27,China,1.575046904291087e-4,NA,2020-03-27
2020-03-28,China,1.5971567556873097e-4,NA,2020-03-28
2020-03-29,China,1.6192666070835322e-4,NA,2020-03-29
2020-03-30,China,1.641376458479755e-4,NA,2020-03-30
2020-03-31,China,1.6634863098759776e-4,NA,2020-03-31
2020-04-01,China,1.6855961612722e-4,NA,2020-04-01
2020-04-02,China,1.6557970196894958e-4,NA,2020-04-02
2020-04-03,China,1.6259978781067917e-4,NA,2020-04-03
2020-04-04,China,1.5961987365240875e-4,NA,2020-04-04
2020-04-05,China,1.5663995949413833e-4,NA,2020-04-05
2020-04-06,China,1.5366004533586792e-4,NA,2020-04-06
2020-04-07,China,1.5068013117759747e-4,NA,2020-04-07
2020-04-08,China,1.4770021701932705e-4,NA,2020-04-08
2020-04-09,China,1.4472030286105664e-4,NA,2020-04-09
2020-04-10,China,1.4174038870278622e-4,NA,2020-04-10
2020-04-11,China,1.387604745445158e-4,NA,2020-04-11
2020-04-12,China,1.357805603862454e-4,NA,2020-04-12
2020-04-13,China,1.3280064622797497e-4,NA,2020-04-13
2020-04-14,China,1.2982073206970455e-4,NA,2020-04-14
2020-04-15,China,1.2684081791143414e-4,NA,2020-04-15
2020-04-16,China,1.2386090375316372e-4,NA,2020-04-16
2020-04-17,China,1.208809895948933e-4,NA,2020-04-17
2020-04-18,China,1.1790107543662289e-4,NA,2020-04-18
2020-04-19,China,1.1492116127835246e-4,NA,2020-04-19
2020-04-20,China,1.1194124712008204e-4,NA,2020-04-20
2020-04-21,China,1.0896133296181162e-4,NA,2020-04-21
2020-04-22,China,1.059814188035412e-4,NA,2020-04-22
2020-04-23,China,1.0300150464527079e-4,NA,2020-04-23
2020-04-24,China,1.0002159048700036e-4,NA,2020-04-24
2020-04-25,China,9.704167632872994e-5,NA,2020-04-25
2020-04-26,China,9.406176217045952e-5,NA,2020-04-26
2020-04-27,China,9.108184801218909e-5,NA,2020-04-27
2020-04-28,China,8.810193385391868e-5,NA,2020-04-28
2020-04-29,China,8.512201969564826e-5,NA,2020-04-29
2020-04-30,China,8.214210553737784e-5,NA,2020-04-30
2020-05-01,China,7.916219137910743e-5,NA,2020-05-01
2020-05-02,China,1.0089900521380718e-4,NA,2020-05-02
2020-05-03,China,1.2263581904850695e-4,NA,2020-05-03
2020-05-04,China,1.443726328832067e-4,NA,2020-05-04
2020-05-05,China,1.6610944671790646e-4,NA,2020-05-05
2020-05-06,China,1.8784626055260621e-4,NA,2020-05-06
2020-05-07,China,2.0958307438730594e-4,NA,2020-05-07
2020-05-08,China,2.3131988822200572e-4,NA,2020-05-08
2020-05-09,China,2.530567020567055e-4,NA,2020-05-09
2020-05-10,China,2.7479351589140523e-4,NA,2020-05-10
2020-05-11,China,2.96530329726105e-4,NA,2020-05-11
2020-05-12,China,3.182671435608048e-4,NA,2020-05-12
2020-05-13,China,3.4000395739550447e-4,NA,2020-05-13
2020-05-14,China,3.6174077123020425e-4,NA,2020-05-14
2020-05-15,China,3.8347758506490404e-4,NA,2020-05-15
2020-05-16,China,4.0521439889960376e-4,NA,2020-05-16
2020-05-17,China,4.2695121273430355e-4,NA,2020-05-17
2020-05-18,China,4.486880265690033e-4,NA,2020-05-18
2020-05-19,China,4.7042484040370306e-4,NA,2020-05-19
2020-05-20,China,4.921616542384029e-4,NA,2020-05-20
2020-05-21,China,5.138984680731026e-4,NA,2020-05-21
2020-05-22,China,5.356352819078023e-4,NA,2020-05-22
2020-05-23,China,5.573720957425021e-4,NA,2020-05-23
2020-05-24,China,5.791089095772019e-4,NA,2020-05-24
2020-05-25,China,6.008457234119016e-4,NA,2020-05-25
