country,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-12,2021-01,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2020-11,2021-02
Argentina,NA,NA,NA,NA,NA,2.1996069788824863e-4,3.3459447467769246e-4,4.0254631064240193e-4,NA,NA,7.480847816982271e-4,8.46935588273984e-4,0.00131370822730921,0.00241298596643464,0.00281827145747016,0.00265456992276362,0.00246722463317555,0.00261386024408852,0.00286061166039357,0.00315220682129666,0.00326315609875221,0.0016528652745222,0.00397014924868623,0.00235418284763739,0.00149402347687472,0.00271772519101291,0.00203181120341441,0.00136169356656987,0.00108294507029179,7.600550668054746e-4,5.373550987745243e-4,5.518466139105407e-4,0.00120123114425112,0.00154673120014491,0.0010473878001506,0.00126170049742712,0.00259001077067524,0.00121585710906859,4.590801463984952e-4,0.00107786442057565,0.00114324928406715,0.00115423198027535,0.00137163598242225,0.00169826432728781,0.00202130412406467,0.00253287478007502,0.00472652091449029,0.00460445550425935,0.00342895320297811,4.343232644406866e-4,7.534086118444886e-4,NA,NA,8.408882897740395e-4,6.123156299386704e-4,7.688024257442332e-4,0.00133581660797409,0.00145188696462512,NA,0.0020286520995027,0.00213052806757973,9.267064157986044e-4,0.00217299678598264
Australia,NA,2.429543245869777e-4,1.4272563930290338e-4,2.7829701895727184e-4,3.1829901222626636e-4,4.299803779298063e-4,4.193437118015792e-4,2.0865963518307216e-4,2.902705155504446e-4,4.539888154427339e-4,8.407373709300217e-4,8.239997129894826e-4,0.00171405498765548,0.00184812634535413,0.00236328674486855,0.00242115356060818,0.00173112110083316,3.747064247409555e-4,1.9663158919201745e-4,1.5102657720163966e-4,4.414668311061149e-4,5.644979270938767e-4,0.00429916025539495,7.04132815251946e-4,0.00120949406957823,0.00148554415987614,5.220385569093014e-4,5.370964076515842e-4,8.314925848432413e-4,6.153155527486711e-4,6.707202284877821e-4,0.00100474636383667,0.00162134960299113,0.0022485184061285,0.00245201224709286,0.0022844338726173,0.00273256390849874,0.00352761094200938,0.00342337779735429,0.00342369262259094,0.00422376120453922,0.00464406986550486,0.00475736086675023,0.00417697538575862,0.00437176440576074,0.00501473316106633,0.00600913887517716,0.00298569426185444,0.00154986033249916,0.00104347639147646,0.00117937791391563,0.00126759832481638,0.00117365652957814,0.00119480356205156,0.00102562392632563,0.00118328979457388,0.00120139648540399,0.00121881969068633,0.00118704407869674,0.00128653506847055,0.00144412618248007,7.557276933085729e-4,0.00146350989806155
Brazil,NA,NA,3.737758839799656e-4,2.082270154768182e-4,2.6844093358752846e-4,3.989898513607215e-4,3.8638993630552736e-4,5.120561804755358e-4,7.363977902260942e-4,6.022221190120867e-4,7.72249741427157e-4,0.00101359358221815,0.00148292202430118,0.00114590338678365,9.560291724334444e-4,8.75207275573262e-4,9.572903530329151e-4,0.00159706527885426,0.00261657443749209,0.00135557807564474,8.870172728970355e-4,9.526143234257704e-4,0.00408732939482659,9.515515238860312e-4,7.877877680035741e-4,0.0019392068652329601,0.00188942439758515,0.00155016392699071,0.00121922196503261,7.502683726295647e-4,9.840771267017898e-4,0.00109961781554036,0.00139016569777616,0.00117250199426211,0.00115410675296556,0.00208869639582204,0.0024430477733314,0.00120734327803968,0.00134274571576942,0.00126095213228191,0.00124197616298863,0.00171668227867078,0.00161109051045062,0.00182293696321269,0.00178415106537469,0.00565858798754282,0.00521888337187118,0.0034255127230301,0.00199918869992764,9.924683323559965e-4,0.00108400466354927,7.773350876173369e-4,9.361548918317404e-4,0.0011937504970107,0.00129598220037149,0.00130968286001881,0.00183215739359404,0.00196471986678108,0.00240216356344316,0.00241128590412582,0.0026663604772156,6.971495180762484e-4,0.00170357740781907
Canada,NA,NA,NA,1.8602726756378456e-4,2.228017739002264e-4,3.174924667219554e-4,4.229065057797792e-4,3.562218849841957e-4,4.701031005402989e-4,4.141009387246908e-4,6.176188907670275e-4,8.920182877427657e-4,0.00106413059732663,0.00205848543395722,0.00253658019926234,0.00261172967357303,0.002817011297548,0.00179230310205211,6.852333814207604e-4,5.59081313832192e-4,5.042375366303103e-4,7.465133717671358e-4,0.00470377900136373,0.00122293739684563,0.00150724623249257,0.0021048772380898,9.972044638098057e-4,7.362446916291783e-4,9.809942337765168e-4,6.078716917184555e-4,4.699350902486677e-4,6.560568667057753e-4,8.722332297405273e-4,0.00107391865828058,0.00118249152514195,0.00144391023137825,0.00260354413447639,0.00275475619681315,0.00185810300439392,0.00147728731459083,0.00138283877757071,0.0016401226797265,0.00194474957640419,0.00197412794249638,0.00217582350560456,0.00305121973919739,0.00582685425523772,0.0037486681198173,0.00138834522701568,0.00118861502222728,0.0011715162725201,0.00123017819919131,0.00114995340592423,0.00114358409619583,0.00104797647243581,9.660909554361222e-4,9.806058500239974e-4,0.00113932601082285,0.00123478796994686,0.00158847192158278,0.00172240874505467,7.415139394567394e-4,0.00139744215066344
China,1.4271442842871414e-4,1.384505719551263e-4,2.3692966974286464e-4,3.133656617471341e-4,2.454656100350463e-4,2.0931449502878077e-4,4.6343323654248023e-4,1.598930170358742e-4,8.597412287190085e-4,4.83045489633473e-4,1.6101115002213905e-4,7.414210782812869e-4,0.00111548516670509,3.343174900587319e-4,0.00104287014062489,0.00171652730739852,0.00104315097799907,0.00113849838045578,7.1358051246143e-4,2.757022004746525e-4,0.00111735353551045,3.865905316811147e-4,0.00454876379287392,0.00409078737385225,0.00286223160991161,6.472901244536897e-4,8.039652590491657e-4,1.843809696102924e-4,0.00141569765769679,9.577451084793816e-4,4.612602697787603e-4,4.4293765598268193e-4,7.7104661585919e-4,5.005001962866879e-4,6.08694820423911e-4,5.358251622102243e-4,7.586750705126637e-4,0.00109348189075787,0.00289537935152719,0.00140765488080927,0.00138213116540232,0.00142019336329723,0.00116327266356853,0.00102513745885184,0.00107727146417286,0.00169221799204266,0.00534151333305257,0.0057716768759702,0.00161190605488697,0.00100194023913046,8.624845853346735e-4,0.00103282951143487,9.68284453829404e-4,0.00110704013619242,0.00129288659692381,0.00148199232853644,0.00163080260400555,0.00182103332373148,0.00168003627685685,0.00129090791912923,0.00222679436970898,NA,NA
France,NA,3.2202230004427804e-4,7.353544354343797e-5,1.3555619109563874e-4,1.300439170740507e-4,1.995457793676748e-4,3.9251035689971887e-4,4.457241236944992e-4,5.728620721689746e-4,5.280429270152826e-4,5.600165108244124e-4,0.00107489957660402,0.00194977573579938,0.00125358579646673,0.00117911881790219,0.0010886430043811,0.00249742523864472,0.0010997494051275,8.994973455112437e-4,0.00101613897416958,9.842188811348069e-4,0.00107031999612792,0.00359357199319872,0.00237552124087108,0.002161306746496,0.00124032878978272,6.018795773067378e-4,8.767290604232785e-4,7.757194559955298e-4,5.424296811678512e-4,4.602522834592504e-4,6.687491649449239e-4,9.099742255435156e-4,9.91288612845263e-4,0.00103000397267731,0.00180415871769632,0.00299879988865392,0.00189748670688089,0.00126954941257481,0.00160415306271649,0.00143551450319228,0.00180637528764468,0.00246520669518609,0.00253743179422773,0.00366595984062281,0.00615301750315112,0.00414705275057281,0.00116268098714802,0.00105350660401545,0.00138510509835445,0.00167863627525952,0.00130409050616699,0.00139495655252971,0.00111500517422394,8.65705804543834e-4,8.252252362697036e-4,9.446328708378504e-4,0.00111589556565546,0.00117571041276375,0.00140963668701773,0.00182471116915909,5.881094897647331e-4,0.00172548984243993
Germany,NA,8.721437292865865e-5,2.1117301438982816e-4,2.0656902590210143e-4,2.5421969349077384e-4,6.603462800576478e-4,7.776349450819414e-5,3.9234974370564216e-4,7.738755609226498e-4,7.904676844112795e-4,7.917903305332204e-4,9.48681907018411e-4,0.00127155306095729,0.00112332645319674,7.325928606810348e-4,0.00112928680817336,0.00177899295265054,0.00115151965724632,7.995998524313673e-4,8.715115597923155e-4,9.250021819320096e-4,9.488593254073774e-4,0.00240504669500932,0.00273164285479422,0.00209314467702598,0.00157800273668129,6.02047350937212e-4,7.33776681785803e-4,7.533419934219112e-4,4.4037390288892913e-4,4.320124393615216e-4,5.664804902628786e-4,7.838586208413115e-4,0.00118233151931397,0.00131172539688394,0.00211285789760481,0.00319554107921854,0.00258557168186402,0.00197553754526459,0.00186137466471501,0.00191552717541265,0.00169023785993923,0.00202666009958378,0.00248429785899921,0.00328155842837247,0.00528848569152813,0.00608142688671477,0.00281833993916801,0.00166849096654462,8.385118645644369e-4,0.00100628097761942,0.00133030518385684,0.00115265323477468,0.0010388115266496,8.67667267770615e-4,9.40076020183168e-4,0.00104930202647379,9.30090448904424e-4,0.00104279656170868,0.00111075550571592,0.00118100614112434,7.486131520047356e-4,0.00144431504563624
India,NA,NA,NA,6.45305405390711e-4,4.490316552795471e-4,4.435705234107335e-4,4.617236173893944e-4,4.4070112446812824e-4,5.629443534526563e-4,6.344216305018069e-4,7.571879451002636e-4,0.00112783794271373,0.00137549691073973,0.0021858039907186,0.00164225005799583,9.206893492015416e-4,9.456425968602774e-4,8.555292622791465e-4,9.525066001164284e-4,0.00109447073032587,0.00110450668719208,0.00129684408935973,0.00481437449826835,0.00189755039378304,6.82093358734333e-4,0.00100257752248951,0.00101649792592623,0.00138449319324817,0.0015150111357073101,0.00211112873684389,0.00247746280196396,0.00211699290431788,0.00249024940900163,0.00236850870358148,0.00422669853435286,0.00410189181627059,0.00298327723841274,0.00190512983593397,0.00176832949453046,0.00211089816147511,0.00280882071480012,0.00176696612766528,0.00233158498474786,0.00238377843607035,0.00171794624643234,0.00308690194881843,0.0015733499304958,0.00149054326564109,0.00164417845064584,0.00156719343783324,0.00108154123481536,NA,0.00160666117727926,0.00230627558207138,0.00306782257435342,NA,NA,NA,NA,NA,0.00212218891212858,8.75951063618908e-4,0.00196723699064188
Italy,NA,NA,2.106267658494137e-4,1.2503836590085498e-4,3.784676101030831e-4,2.3371326049624735e-4,3.476525815126077e-4,9.065606606398392e-4,6.43717345639176e-4,7.369146982804472e-4,8.706386673336308e-4,0.00123592097119746,0.00174085251508514,0.00115365004968277,0.00105599520755483,0.00162566542664707,0.00268563384236372,0.00144629116010508,8.351539651889917e-4,0.0010344119180802,0.00118369204436201,0.00101427254978354,0.00317911596625403,0.00331765916966005,0.0025622317110918498,0.00190674444962516,0.00103831030107239,7.972414057647213e-4,0.00103223718471634,5.078806167211153e-4,4.6273779241327e-4,7.224745286441044e-4,9.781910069108614e-4,0.0013558897837249,0.00141882878154791,0.00177069376996018,0.00273985857848671,0.00298095853855643,0.00199662421588765,0.00198843251010019,0.00158564316494591,0.00243020470088737,0.00209901675222988,0.00238844230105541,0.00305682904824226,0.00432592997720031,0.00599104236109363,0.00264825380637154,0.00173734337249118,0.00198598014836877,0.0014739934250084,0.00209955593889212,0.00177786344786185,0.00117845562221777,9.95864742666321e-4,0.00106254496643029,0.00117925270248917,0.00253466383783087,0.00120291574645759,0.00158863846667491,0.0020595301249506,8.796367452763092e-4,0.00182835523604205
Japan,NA,4.757147614290472e-5,7.017639851971202e-5,1.872195628541716e-4,1.086802223133146e-4,1.769614777438437e-4,2.985222593570847e-4,1.9554514303830132e-4,2.4215664792893752e-4,3.344395480877649e-4,3.700140912227404e-4,4.469690882451783e-4,6.717728373450361e-4,0.00152139098324209,0.00112181439931944,7.524860619859839e-4,0.00103593113653201,0.00175363159475223,5.700421498014752e-4,3.47219394125345e-4,4.834179344885021e-4,6.665986571794164e-4,0.00452354662101512,9.302074084838612e-4,6.43212968234077e-4,0.00203883372032216,0.00128938924765708,6.111063291349623e-4,7.344006600506408e-4,5.491397367992262e-4,3.4995890454979687e-4,4.0306869784818334e-4,6.116676961703462e-4,9.73939952607716e-4,0.0012167901603319,0.00161074250175416,0.00188029538752769,0.00330129007598928,0.00273706825432047,0.00241698837556941,0.00218221338799803,0.00217829517341548,0.0023022179721852,0.00260591986416386,0.00275449871581152,0.00394820615318435,0.00549623853093463,0.00610058742595965,0.0046972613299053,0.00306843825159747,0.00228835872648743,0.00154559761117445,8.577302438900311e-4,6.591245658117982e-4,6.215703352670549e-4,7.26748405636762e-4,8.884541758286753e-4,0.00117160602555274,0.00122782707538424,0.00127433465962367,0.0012291273657165,3.567166627626388e-4,0.00104004140523985
