"month","mean_distance","median_distance"
"2020-02",7.48118279569892,7
"2020-03",10.0602575264629,10
"2020-04",10.3111486486486,10
"2020-05",12.214406779661,12
"2020-06",13.7378461538462,14
"2020-07",14.0555032269318,14
"2020-08",6.37714339551536,4
"2020-09",15.0515596330275,16
"2020-11",20.4189806856103,24
"2020-12",11.99809183065,3
"2021-01",12.4306015081929,5
"2021-02",17.3436447102426,8
"2021-03",18.3903257931427,9
"2021-04",40.2814750193863,46
"2021-05",47.5092331768388,49
"2021-06",53.0036594230143,55
"2021-07",42.9376674546887,51
"2021-12",65.7966820850383,81
"2022-01",64.6933748365667,81
"2022-02",40.6474602107806,48
"2022-04",15.0846273176338,6
"2022-05",10.8173947313045,9
"2022-06",12.0930062157823,11
"2022-07",14.4715708726547,13
"2022-08",19.1275688095257,21
"2023-01",39.8266084666792,47
"2023-02",44.440536118692,51
"2023-03",49.0328227843376,53
"2023-04",48.434607234198,52
"2023-05",37.6215533898738,34
"2023-12",65.145,81
"2024-01",68.673541434411,87
"2024-02",17.1970338983051,10
"2024-04",20.545553643144,15
"2024-05",21.3850308641975,16
"2025-01",38.3084493257938,29
