week,country,nucleotide_diversity,sample_size,year_week
2019-12-01,China,1.4271442842871414e-4,22,2019-W48
2019-12-08,China,1.4175162212822656e-4,111,2019-W49
2019-12-15,China,1.4078881582773898e-4,200,2019-W50
2019-12-22,China,1.3982600952725142e-4,289,2019-W51
2019-12-29,China,1.3886320322676384e-4,378,2019-W52
2020-01-05,China,1.5115755231483448e-4,437,2020-W01
2020-01-12,China,1.7339476794432377e-4,474,2020-W02
2020-01-19,China,1.956319835738131e-4,511,2020-W03
2020-01-26,China,2.1786919920330238e-4,547,2020-W04
2020-02-02,China,2.3956539360508083e-4,569,2020-W05
2020-02-09,China,2.5801546064059414e-4,499,2020-W06
2020-02-16,China,2.764655276761075e-4,430,2020-W07
2020-02-23,China,2.949155947116208e-4,360,2020-W08
2020-03-01,China,3.133656617471341e-4,290,2020-W09
2020-03-08,China,2.980333920056949e-4,243,2020-W10
2020-03-15,China,2.8270112226425574e-4,197,2020-W11
2020-03-22,China,2.6736885252281653e-4,150,2020-W12
2020-03-29,China,2.520365827813774e-4,104,2020-W13
2020-04-05,China,2.406454613675442e-4,73,2020-W14
2020-04-12,China,2.322102011994156e-4,55,2020-W15
2020-04-19,China,2.2377494103128698e-4,37,2020-W16
2020-04-26,China,2.1533968086315835e-4,18,2020-W17
2020-05-03,China,2.2570925254579362e-4,6,2020-W18
2020-05-10,China,2.8309090385533867e-4,9,2020-W19
2020-05-17,China,3.404725551648837e-4,12,2020-W20
2020-05-24,China,3.9785420647442876e-4,15,2020-W21
2020-05-31,China,4.552358577839738e-4,18,2020-W22
2020-06-07,China,4.0272519264115904e-4,16,2020-W23
2020-06-14,China,3.3189914142295096e-4,14,2020-W24
2020-06-21,China,2.610730902047429e-4,12,2020-W25
2020-06-28,China,1.902470389865348e-4,10,2020-W26
2020-07-05,China,2.501960120917625e-4,12,2020-W27
2020-07-12,China,4.08226253439567e-4,18,2020-W28
2020-07-19,China,5.662564947873715e-4,24,2020-W29
2020-07-26,China,7.24286736135176e-4,30,2020-W30
2020-08-02,China,8.475897532646364e-4,34,2020-W31
2020-08-09,China,7.625294250840316e-4,30,2020-W32
2020-08-16,China,6.774690969034268e-4,25,2020-W33
2020-08-23,China,5.924087687228219e-4,20,2020-W34
2020-08-30,China,5.073484405422172e-4,15,2020-W35
2020-09-06,China,4.2937309969825067e-4,14,2020-W36
2020-09-13,China,3.5423175378893946e-4,14,2020-W37
2020-09-20,China,2.7909040787962814e-4,13,2020-W38
2020-09-27,China,2.0394906197031688e-4,13,2020-W39
2020-10-04,China,1.8955590059226108e-4,13,2020-W40
2020-10-11,China,2.561603185892124e-4,12,2020-W41
2020-10-18,China,3.227647365861638e-4,12,2020-W42
2020-10-25,China,3.893691545831152e-4,11,2020-W43
2020-11-01,China,4.559735725800666e-4,11,2020-W44
2020-11-08,China,5.22577990577018e-4,11,2020-W45
2020-11-15,China,5.891824085739694e-4,10,2020-W46
2020-11-22,China,6.557868265709206e-4,10,2020-W47
2020-11-29,China,7.223912445678722e-4,9,2020-W48
2020-12-06,China,8.017539957689971e-4,11,2020-W49
2020-12-13,China,8.862200802517914e-4,13,2020-W50
2020-12-20,China,9.706861647345857e-4,15,2020-W51
