week,country,nucleotide_diversity,sample_size,year_week,original_month
2019-12-01,China,1.4271442842871414e-4,22,2019-W48,2019-12-01
2019-12-08,China,1.4271442842871414e-4,22,2019-W49,2019-12-01
2019-12-15,China,1.4271442842871414e-4,22,2019-W50,2019-12-01
2019-12-22,China,1.4271442842871414e-4,22,2019-W51,2019-12-01
2019-12-29,China,1.4271442842871414e-4,22,2019-W52,2019-12-01
2020-01-05,China,1.384505719551263e-4,416,2020-W01,2020-01-01
2020-01-12,China,1.384505719551263e-4,416,2020-W02,2020-01-01
2020-01-19,China,1.384505719551263e-4,416,2020-W03,2020-01-01
2020-01-26,China,1.384505719551263e-4,416,2020-W04,2020-01-01
2020-02-02,China,2.3692966974286464e-4,579,2020-W05,2020-02-01
2020-02-09,China,2.3692966974286464e-4,579,2020-W06,2020-02-01
2020-02-16,China,2.3692966974286464e-4,579,2020-W07,2020-02-01
2020-02-23,China,2.3692966974286464e-4,579,2020-W08,2020-02-01
2020-03-01,China,3.133656617471341e-4,290,2020-W09,2020-03-01
2020-03-08,China,3.133656617471341e-4,290,2020-W10,2020-03-01
2020-03-15,China,3.133656617471341e-4,290,2020-W11,2020-03-01
2020-03-22,China,3.133656617471341e-4,290,2020-W12,2020-03-01
2020-03-29,China,3.133656617471341e-4,290,2020-W13,2020-03-01
2020-04-05,China,2.454656100350463e-4,84,2020-W14,2020-04-01
2020-04-12,China,2.454656100350463e-4,84,2020-W15,2020-04-01
2020-04-19,China,2.454656100350463e-4,84,2020-W16,2020-04-01
2020-04-26,China,2.454656100350463e-4,84,2020-W17,2020-04-01
2020-05-03,China,2.0931449502878077e-4,5,2020-W18,2020-05-01
2020-05-10,China,2.0931449502878077e-4,5,2020-W19,2020-05-01
2020-05-17,China,2.0931449502878077e-4,5,2020-W20,2020-05-01
2020-05-24,China,2.0931449502878077e-4,5,2020-W21,2020-05-01
2020-05-31,China,2.0931449502878077e-4,5,2020-W22,2020-05-01
2020-06-07,China,4.6343323654248023e-4,18,2020-W23,2020-06-01
2020-06-14,China,4.6343323654248023e-4,18,2020-W24,2020-06-01
2020-06-21,China,4.6343323654248023e-4,18,2020-W25,2020-06-01
2020-06-28,China,4.6343323654248023e-4,18,2020-W26,2020-06-01
2020-07-05,China,1.598930170358742e-4,9,2020-W27,2020-07-01
2020-07-12,China,1.598930170358742e-4,9,2020-W28,2020-07-01
2020-07-19,China,1.598930170358742e-4,9,2020-W29,2020-07-01
2020-07-26,China,1.598930170358742e-4,9,2020-W30,2020-07-01
2020-08-02,China,8.597412287190085e-4,35,2020-W31,2020-08-01
2020-08-09,China,8.597412287190085e-4,35,2020-W32,2020-08-01
2020-08-16,China,8.597412287190085e-4,35,2020-W33,2020-08-01
2020-08-23,China,8.597412287190085e-4,35,2020-W34,2020-08-01
2020-08-30,China,8.597412287190085e-4,35,2020-W35,2020-08-01
2020-09-06,China,4.83045489633473e-4,14,2020-W36,2020-09-01
2020-09-13,China,4.83045489633473e-4,14,2020-W37,2020-09-01
2020-09-20,China,4.83045489633473e-4,14,2020-W38,2020-09-01
2020-09-27,China,4.83045489633473e-4,14,2020-W39,2020-09-01
2020-10-04,China,1.6101115002213905e-4,13,2020-W40,2020-10-01
2020-10-11,China,1.6101115002213905e-4,13,2020-W41,2020-10-01
2020-10-18,China,1.6101115002213905e-4,13,2020-W42,2020-10-01
2020-10-25,China,1.6101115002213905e-4,13,2020-W43,2020-10-01
2020-12-06,China,7.414210782812869e-4,9,2020-W49,2020-12-01
2020-12-13,China,7.414210782812869e-4,9,2020-W50,2020-12-01
2020-12-20,China,7.414210782812869e-4,9,2020-W51,2020-12-01
2020-12-27,China,7.414210782812869e-4,9,2020-W52,2020-12-01
2021-01-03,China,0.00111548516670509,19,2021-W01,2021-01-01
2021-01-10,China,0.00111548516670509,19,2021-W02,2021-01-01
2021-01-17,China,0.00111548516670509,19,2021-W03,2021-01-01
2021-01-24,China,0.00111548516670509,19,2021-W04,2021-01-01
2021-01-31,China,0.00111548516670509,19,2021-W05,2021-01-01
2021-03-07,China,3.343174900587319e-4,47,2021-W10,2021-03-01
2021-03-14,China,3.343174900587319e-4,47,2021-W11,2021-03-01
2021-03-21,China,3.343174900587319e-4,47,2021-W12,2021-03-01
2021-03-28,China,3.343174900587319e-4,47,2021-W13,2021-03-01
2021-04-04,China,0.00104287014062489,66,2021-W14,2021-04-01
2021-04-11,China,0.00104287014062489,66,2021-W15,2021-04-01
2021-04-18,China,0.00104287014062489,66,2021-W16,2021-04-01
2021-04-25,China,0.00104287014062489,66,2021-W17,2021-04-01
2021-05-02,China,0.00171652730739852,95,2021-W18,2021-05-01
2021-05-09,China,0.00171652730739852,95,2021-W19,2021-05-01
2021-05-16,China,0.00171652730739852,95,2021-W20,2021-05-01
2021-05-23,China,0.00171652730739852,95,2021-W21,2021-05-01
2021-05-30,China,0.00171652730739852,95,2021-W22,2021-05-01
2021-06-06,China,0.00104315097799907,120,2021-W23,2021-06-01
2021-06-13,China,0.00104315097799907,120,2021-W24,2021-06-01
2021-06-20,China,0.00104315097799907,120,2021-W25,2021-06-01
2021-06-27,China,0.00104315097799907,120,2021-W26,2021-06-01
2021-07-04,China,0.00113849838045578,119,2021-W27,2021-07-01
2021-07-11,China,0.00113849838045578,119,2021-W28,2021-07-01
2021-07-18,China,0.00113849838045578,119,2021-W29,2021-07-01
2021-07-25,China,0.00113849838045578,119,2021-W30,2021-07-01
2021-08-01,China,7.1358051246143e-4,111,2021-W31,2021-08-01
2021-08-08,China,7.1358051246143e-4,111,2021-W32,2021-08-01
2021-08-15,China,7.1358051246143e-4,111,2021-W33,2021-08-01
2021-08-22,China,7.1358051246143e-4,111,2021-W34,2021-08-01
2021-08-29,China,7.1358051246143e-4,111,2021-W35,2021-08-01
2021-09-05,China,2.757022004746525e-4,266,2021-W36,2021-09-01
2021-09-12,China,2.757022004746525e-4,266,2021-W37,2021-09-01
2021-09-19,China,2.757022004746525e-4,266,2021-W38,2021-09-01
2021-09-26,China,2.757022004746525e-4,266,2021-W39,2021-09-01
2021-10-03,China,0.00111735353551045,98,2021-W40,2021-10-01
2021-10-10,China,0.00111735353551045,98,2021-W41,2021-10-01
2021-10-17,China,0.00111735353551045,98,2021-W42,2021-10-01
2021-10-24,China,0.00111735353551045,98,2021-W43,2021-10-01
