"Country","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9","Week_10","Week_11","Week_12","Week_13","Week_14","Week_15","Week_16","Week_17","Week_18","Week_19","Week_20","Week_21","Week_22","Week_23","Week_24","Week_25","Week_26","Week_27","Week_28","Week_29","Week_30","Week_31","Week_32","Week_33","Week_34","Week_35","Week_36","Week_37","Week_38","Week_39","Week_40","Week_41","Week_42","Week_43","Week_44","Week_45","Week_46","Week_47","Week_48","Week_49","Week_50","Week_51","Week_52","Week_53","Week_54","Week_55","Week_56","Week_57","Week_58","Week_59","Week_60","Week_61","Week_62","Week_63","Week_64","Week_65","Week_66","Week_67","Week_68","Week_69","Week_70","Week_71","Week_72","Week_73","Week_74","Week_75","Week_76","Week_77","Week_78","Week_79","Week_80","Week_81","Week_82","Week_83","Week_84","Week_85","Week_86","Week_87","Week_88","Week_89","Week_90","Week_91","Week_92","Week_93","Week_94","Week_95","Week_96","Week_97","Week_98","Week_99","Week_100","Week_101","Week_102","Week_103","Week_104","Week_105","Week_106","Week_107","Week_108","Week_109","Week_110","Week_111","Week_112","Week_113","Week_114","Week_115","Week_116","Week_117","Week_118","Week_119","Week_120","Week_121","Week_122","Week_123","Week_124","Week_125","Week_126","Week_127","Week_128","Week_129","Week_130","Week_131","Week_132","Week_133","Week_134","Week_135","Week_136","Week_137","Week_138","Week_139","Week_140","Week_141","Week_142","Week_143","Week_144","Week_145","Week_146","Week_147","Week_148","Week_149","Week_150","Week_151","Week_152","Week_153","Week_154","Week_155","Week_156","Week_157","Week_158","Week_159","Week_160","Week_161","Week_162","Week_163","Week_164","Week_165","Week_166","Week_167","Week_168","Week_169","Week_170","Week_171","Week_172","Week_173","Week_174","Week_175","Week_176","Week_177","Week_178","Week_179","Week_180","Week_181","Week_182","Week_183","Week_184","Week_185","Week_186","Week_187","Week_188","Week_189","Week_190","Week_191","Week_192","Week_193","Week_194","Week_195","Week_196","Week_197","Week_198","Week_199","Week_200","Week_201","Week_202","Week_203","Week_204","Week_205","Week_206","Week_207","Week_208","Week_209","Week_210","Week_211","Week_212","Week_213","Week_214","Week_215","Week_216","Week_217","Week_218","Week_219","Week_220","Week_221","Week_222","Week_223","Week_224","Week_225","Week_226","Week_227","Week_228","Week_229","Week_230","Week_231","Week_232","Week_233","Week_234","Week_235","Week_236","Week_237","Week_238","Week_239","Week_240","Week_241","Week_242","Week_243","Week_244"
"CN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.272727272727,0,94,617,1898.875,3130.37209302326,3282.28813559322,1527.4347826087,1247,810,538,416.666666666667,364.433333333333,515,624,847,694,320,297,236,313,558,393,310,250,168.384615384615,311,513,632,550,252,252,602.791666666667,617.724137931035,237.333333333333,85.12,112.5,75.3669724770642,36.5454545454545,680.4,981.630434782609,128.5625,0,2394.38461538462,1352.66292134831,0,0,0,0,0,0,0,0,0,0,5175.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.142857142857,0,0,0,0,0,0,0,14.8842767295597,21.9737015121629,96.9775280898876,142.755784061696,86.7556848228449,277.576280521388,614.860817638952,589.345175530797,632.223206377325,659.112540192926,704.433051269288,649.977973568282,1035.61791044776,1526.44180939833,2418.60762823323,4681.40407226842,10044.216802168,20118.7785451874,51672.276904474,84876.2688323917,105745.047732697,150228.255861188,150566.149640288,115594.419329696,67641.5000795545,37056.7174552259,17923.6767676768,10361.9185639229,5919.05495978552,3747,2218,5926,1336,1266,1008,643.84962406015,773.363636363636,787.172413793103,781.691973969631,1082.66583229036,752.998839907193,3266.92911454501,4680.93121301775,4220.78644395362,6487.58566389519,4666.65645283019,2820.9746318964,1034.98734634851,1058.25900900901,635.842508278145,156.652057060161,144.120790788616,58.6934791934792,0,51.6414690130069,0,0,0,0,139.339276617422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KR",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,620.285714285714,1465.21739130435,1071.59322033898,1856.88888888889,2910,1718.8,2171.94029850746,2285.39655172414,3200.33548387097,4630.05072463768,7742.07291666667,9591.10063897764,10625.9498381877,10594.5784023669,11339.2276119403,13007.4541751527,12279.2040520984,12230.0055679287,11728,12636,13102.8520055325,15992.3460898503,16224,13039,10629,9644,13296,15307,15774,20785,25894.8452261306,31942.0971258672,42878.8545706371,45816.5269461078,37067.3316831683,22057.8611898017,12685.8922949461,6168.38613861386,5230.17563117453,4694.77170418006,1826.23930753564,367.259938837918,0,945.777680140597,1139.4156133829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.904401325127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.25786163522,0,543.846153846153,0,1361.48416289593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SG",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6428571428571,0,0,0,0,0,0,0,4.56410256410256,13.8888888888889,72.3125,112.5,180.086021505376,99.5294117647059,218.662337662338,226.421052631579,195.380281690141,165.290322580645,73.7254901960784,135,127.851239669421,73,71.1206896551724,381,1106,923,662,408,306,826,1356,3027,6117,10088,15951,23123,21212,24466,25730,19959,18870,14985,10195,6571.03225806452,3718.60416666667,929.36170212766,1015.8904109589,702.248962655602,903.399408284024,436.321608040201,972.692832764505,592.422857142857,0,325.781818181818,0,0,0,0,0,0,0,0,0,0,71.9012345679012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.606382978723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,0,0,40941,0,64485,0,89539,0,0,176388,0,307904,365201,0,436672,0,497793,380718.666666667,640545,646263,591913,556841,0,0,370260,239453.25,323672,306825,281227,182838.769230769,230361.083333333,154768.727272727,93796.7692307692,2486.14285714286,49496.3636363636,118352.936936937,73236.68,23548.2926829268,48236.8421052632,35348.1720430108,44427.5021097046,8743.96638655462,8621.94871794872,26950.1318681319,26887.3962732919,73475.9773299748,134262.395582329,310090.378031384,689406.551413355,1210977.57720345,1966949.22832981,2421135.24662082,2678712.16958878,2363386.99048868,1835469.14781778,1357529.9362815,908973.853955375,628463.496780585,440070.018207954,350386.517992424,311521.125116713,291351.3165,268710.565024631,265701.739393939,283923,278243.833256137,257638.530841121,231245.797153025,270796,293443.987461877,247868.850706376,211242,204582,161158,139477.149847095,114244,107702.009594418,97832,82058.4611398964,81565.7515060241,72696.6718924972,61773.1497705465,58717.090515687,54038.1759656652,40987.4604399846,23242.7401392111,21838.8528092288,45493.136492891,50991.1883061049,15529.3685756241,15768.4610889774,4648.14201183432,2685.70695153061,2922.4962406015,314.241610738254,71.7243491577334,0,381.509433962264,0,273.322834645669,0,12.8308270676692,24.6773162939296,67.0061919504643,68.3346534653465,87.1482035928143,22.1137724550898,23.4486638537271,0,22.1786064769382,0,139.433482810164,31.5356141334829,0,70.1469298245614,247.148479427549,0,166.562169312169,0,0,0,0,0,431.433333333333,0,0,302.172413793103,0,0,0,0,0,0,0,79.5652173913043,0,61.0810810810811,25.9325842696629,73.4761904761905,19.0298507462686,31.8857142857143,0,0,0,0,0,0,0,0,0,0,0,0,6589.17857142857,2994.89189189189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",NA,0,0,0,0,0,0,0,0,0,0,3465,0,0,0,0,0,0,0,91123,169032,0,0,0,0,0,258278,0,43578.3333333333,466267,29243.8125,40429.6875,375909,0,0,294946,295253,245621,0,0,298348,334249,344563.555555556,0,223757.6,243105.846153846,251211.25,534310.454545455,232480.2,640466,944024.142857143,189741,160014.352941176,97377.8525641026,79388.1428571428,138928.106796117,17955.475177305,7421.00694444444,3114.44141689373,1895.34200113058,900.161596958172,747.393955603099,153.07949790795,280.530865700718,291.984768059081,248.47933392804,764.637908496728,1225.54026448769,2859.54516839786,5615.28588298034,6199.82290076336,7565.63418775104,8416.72786177106,11002.1705957418,16357.239946252,21496.4380567763,33994.7396655096,38904.9861484391,58160.2565109726,76524.9483252919,254242.53235209,209333.267938497,347861.774233676,537546.345298156,735848.330341466,882005.970340315,1016854.48660799,1092924.14073187,1143101.15105117,1021987.74795413,1036462.57846452,852137.453880577,755512.179748392,681817.174168298,582119.924650398,508415.184086747,526066.54175544,509767.352549032,556896.299085032,676188.051301907,590925.935164105,743741.753168608,772963.758198038,531569.238218674,328792.135508127,263374.088233975,190473.247641528,106245.80340538,42977.6734135925,18909.4386544755,11900.2384522547,1839.03302423946,923.3167917819,706.241095890407,445.106615424473,359.404907975459,220.21432537479,227.187396027007,120.182580673641,52.4962818003914,121.602059896392,57.1030544704861,42.8101781170483,0,52.2932964515711,47.9185151356994,48.3078260869565,63.1796142606663,0,35.0005727078669,36.9592979349496,54.9579999052985,49.2301429706116,18.3389561052153,0,23.6640788816775,21.7249545128742,127.366210819315,368.351319665725,1271.75961356317,1406.45352258958,877.582578715623,169.908932164142,15.5869546838011,128.256325797275,34.1343065693431,55.1445657541011,73.4633956890414,73.4896313364055,96.75912710725,189.545728643216,0,74.9004391655854,57.6598704268293,40.0453108078839,0,62.46268289684,22.5559581320451,93.7056019070322,0,39.9047804119705,0,56.6386187735662,68.9878502355567,0,142.337773042088,0,0,0,0,753.666666666666,0,0,0,0,701.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20267,0,0,33401,38345,0,0,0,0,4518,0,0,0,547.311475409836,0,0,0,0,23.6615925058548,0,9.92342904702455,14.9459595959596,48.7468879668046,463.105955334987,1171.09498207885,2160.95439377086,2177.97762446392,2709.56920256645,4150.68555093555,3919.41923076923,2619.75959674292,2191.22302158273,2424.48745214802,2470.26691553896,1699.79712460064,2067.20260223048,2235.04225352113,1872.89171374765,2608.57715430862,4386.33690360273,6847.77198958125,11829.3051790555,15767.6866488327,20423.6950785821,24505.5623356128,26729.690941073,31007.8349103586,29587.5488424619,30320.5306463153,26211.2971428571,21453.4107000266,19068,16185.9075945712,15555,17661.647696477,17070.0065818341,19591.1002053388,19711.9830713422,18541.8720888994,13490.6999426277,12016.6487562189,10272.6813471503,9329.99327094943,5482.11589262889,2044.74011396995,833.872888305724,203.665946843853,105.722793487575,101.853333333333,8.3349609375,27.7866941015089,0,0,0,0,0,0,29.4811995027968,58.5491319133699,0,0,0,0,0,0,0,17.5915813424345,0,0,7.36129290770669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MX",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35125,0,34791.3333333333,30041,20532.6666666667,0,0,7034,2512,0,0,1194.33333333333,0,0,0,201.201923076923,0,725.086206896552,986.008510638298,611.899563318777,1740.11363636364,2398.96296296296,3109.97755960729,7765.56818181818,15430.4360535932,28657.2522522522,43988.1228070175,68598.2734646582,94977.8576437588,114091.7008,124036.696402878,132610.269662921,118841.997697621,102037.009493671,86623.1358024691,76009.3501350135,57792.3452958293,58823.233460076,44687.2363636364,36194,31023.7857142857,25762,23445,18907,20001,17149.8093797277,19315.9247863248,17980.4435590969,16820.0506329114,12197.0296127563,7898.70445660672,10531.9750519751,10513.1777777778,18976.6722488038,6602.75654450261,1682.91071428571,421.994087837837,306.646153846153,76.1137206427683,45.7435582822084,81.2509505703422,44.5221518987341,89.8928571428571,35.1269035532995,0,23.2048780487805,56.7256637168141,0,0,0,13.1026894865525,0,18.2641791044775,0,0,0,0,0,173.551604509974,0,99.4403314917127,0,0,42.6502384737679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4893617021274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06666666666667,0,0,0,0,2.63333333333333,0,5.5,0,44.7476635514019,74.2135922330097,90.3225806451613,60.8059701492537,9.28571428571429,16.8,53.1666666666667,221,38.6666666666667,69.9107142857143,219.505494505494,250.732394366197,542.1375,870.454545454545,1257.41007194245,1664.48187311178,2311.37798036466,3607.97496522949,6129.55449438202,8134.72797927461,11094,12596,12301,12498,15401,15281,15347,13759,10046,9666,8701,9330,9668.59501289768,10220.6974291365,11092.3498395232,16360.5891304348,27441.2582716049,28866.6141029456,23066.9010309278,13970.0053323854,5086.66971219735,2463.31425651507,1784.13799901429,62.0498554913295,460.738081562319,276.873417721518,1272.06963788301,1046.0553633218,845.854604200323,310.264343163539,0,0,0,0,0,0,0,0,0,0,0,88.6922005571031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.964285714285,159.254807692307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55555555555556,0,2.8,16.8888888888889,4.33333333333333,0,0,10,0,6.4,6,3.6,22.75,7.85714285714286,12,13.3333333333333,11,48,46,14,11,38,128,465,272,158,131,112,188,275,396,687,851,1053,1218,1302,1265,888,645.126506024096,445.349112426036,341.646209386282,293.222222222222,169.707317073171,120.724637681159,136.029411764706,77.218045112782,99.5704225352113,83.7890625,25.7670329670329,0,425.33836858006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
