"Country","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9","Week_10","Week_11","Week_12","Week_13","Week_14","Week_15","Week_16","Week_17","Week_18","Week_19","Week_20","Week_21","Week_22","Week_23","Week_24","Week_25","Week_26","Week_27","Week_28","Week_29","Week_30","Week_31","Week_32","Week_33","Week_34","Week_35","Week_36","Week_37","Week_38","Week_39","Week_40","Week_41","Week_42","Week_43","Week_44","Week_45","Week_46","Week_47","Week_48","Week_49","Week_50","Week_51","Week_52","Week_53","Week_54","Week_55","Week_56","Week_57","Week_58","Week_59","Week_60","Week_61","Week_62","Week_63","Week_64","Week_65","Week_66","Week_67","Week_68","Week_69","Week_70","Week_71","Week_72","Week_73","Week_74","Week_75","Week_76","Week_77","Week_78","Week_79","Week_80","Week_81","Week_82","Week_83","Week_84","Week_85","Week_86","Week_87","Week_88","Week_89","Week_90","Week_91","Week_92","Week_93","Week_94","Week_95","Week_96","Week_97","Week_98","Week_99","Week_100","Week_101","Week_102","Week_103","Week_104","Week_105","Week_106","Week_107","Week_108","Week_109","Week_110","Week_111","Week_112","Week_113","Week_114","Week_115","Week_116","Week_117","Week_118","Week_119","Week_120","Week_121","Week_122","Week_123","Week_124","Week_125","Week_126","Week_127","Week_128","Week_129","Week_130","Week_131","Week_132","Week_133","Week_134","Week_135","Week_136","Week_137","Week_138","Week_139","Week_140","Week_141","Week_142","Week_143","Week_144","Week_145","Week_146","Week_147","Week_148","Week_149","Week_150","Week_151","Week_152","Week_153","Week_154","Week_155","Week_156","Week_157","Week_158","Week_159","Week_160","Week_161","Week_162","Week_163","Week_164","Week_165","Week_166","Week_167","Week_168","Week_169","Week_170","Week_171","Week_172","Week_173","Week_174","Week_175","Week_176","Week_177","Week_178","Week_179","Week_180","Week_181","Week_182","Week_183","Week_184","Week_185","Week_186","Week_187","Week_188","Week_189","Week_190","Week_191","Week_192","Week_193","Week_194","Week_195","Week_196","Week_197","Week_198","Week_199","Week_200","Week_201","Week_202","Week_203","Week_204","Week_205","Week_206","Week_207","Week_208","Week_209","Week_210","Week_211","Week_212","Week_213","Week_214","Week_215","Week_216","Week_217","Week_218","Week_219","Week_220","Week_221","Week_222","Week_223","Week_224","Week_225","Week_226","Week_227","Week_228","Week_229","Week_230","Week_231","Week_232","Week_233","Week_234","Week_235","Week_236","Week_237","Week_238","Week_239","Week_240","Week_241","Week_242","Week_243","Week_244"
"CN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2083333333333,71.2758620689655,474.666666666667,978.88,1537.5,1567.63302752294,1839.45454545455,642.6,660.369565217391,1928.4375,8591,28732.6153846154,119034.337078652,302580,158173,84389,43971,32276,21648,30667,42303,91983,227721,408901.0375,554051,573340,457557.768292683,468907.505376344,406469,323183,230021,223915,197555,180690,172003,163340,166696,172424,194464,238044,263288,297693,292476,303092,333830,328910,285348,257994,219102,171745,158813,144205,146141,1117898,11098550,40475477,24644876,8061762,2361571,755183,175542,192969,148174,118748,77670,84790,92268,65301,13602,1060,1228,1699,2206,3082,3736,4440,4437,6466,5030,6956,4555,2437,3878,2733,2666,2445,2541,1954,964,1463,1587,1647,1527,1025,1152,2551,1555,1372,1070,805,636,559,467,390,420,397,395,505,585,1029,1352,1315,1331,1495,1267,1208,3028,1999,3018,3426,2485,1768,1368,1511,1431,1403,1566,1754,1414,1108,799,731,805,910,1243,1671,1879,1988,2103,2087,2228,1376,1153
"JP",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1503759398496,25.6363636363636,90.8275862068966,362.308026030369,742.334167709637,2266.00116009281,27529.070885455,109554.068786982,285593.213556046,493497.414336105,626284.34354717,608788.025368104,571520.012653652,468808.740990991,438277.157491722,378706.34794294,331549.879209211,273570.306520807,324367,337425.358530987,334688,285761,241921,197600,273383.660723383,245627,192931,134170,105948,98001,103653,122586,269760,559111,969068,1379099,1496968,1395301,1476374,1258772,1164787,537181,605919,535502,306958,208547,218276,233682,281974,401693,503766,593075,698772,749895,849371,1046650,1149932,946130,1070496,1025321,672526,438754,292614,223365,141082,95874,78930,65012,51856,47096,47398,53989,56847,65510,74812,64976,24579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KR",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1547738693467,1215.9028741328,2850.14542936288,1511.47305389222,4186.66831683168,8477.1388101983,12498.1077050539,22475.6138613861,40147.8243688255,99596.2282958199,197436.760692464,359914.740061162,652917,1075349.22231986,1531374.58438662,2199242,2716348,2420314,1998392,1423253,928917,576068,366118,269340,230350,172329,118806,82261,60570,50785,49360,60188,122234,249912,449856,564437,713078,866830,884373,743487,585374,435695,389579,225662,199483,151178,149676,176869,241465,299440,355316.095598675,364536,378751,370574,420392,459811,470762,457745,403800,286291,192638,150072,107810,92788,79372,69307,66037,69816,64299,70226,71121,73678,75087,89417,92327,106860,130356,133183,105688,100866,135758,21003.7421383648,113819,112576.153846154,124548,149082.515837104,204911,271581,651129,81573,281745,282263,256742,135331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SG",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.967741935484,432.395833333333,1618.63829787234,838.109589041096,1823.7510373444,4453.60059171598,5765.6783919598,20950.3071672355,33965.5771428571,49493,71346.2181818182,113143,128242,121941,106615,75581,56988,37739,28257,22299,21868,17400.0987654321,18282,24962,26751,26285,23064,22272,26505,40597,52749,62774,65218,63882,55969,45827,36269,23871,16415,13453,13712,14793,16254,21873,36985,57482,53252.3936170213,36811,24915,16441,10918,13800,8795,8366,8654,5481,8324,5456,3876,2518,1825,2992,2881,244,3849,4471,4426,10352,10464,14467,28410,16018,26072,27818,23417,22624,24296,20767,14851,8531,10432,6717,11736,4302,8544,5632,4738,4951,3485,4951,7045,6650,4295,7248,6401,14843,15336,16250,14801,17123,16062,16395,15441,10726,22094,32035,56043,58300,39100,21200,19800,12200,10700,5880,4370,3000,2040,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.538860103626,164.198795180722,409.328107502799,285.027117229871,2014.90948431302,3216.82403433476,8758.33269008105,23284.2598607889,80491.1471907712,593378.863507109,1543168.81169389,2099570.63142438,1839489.53891102,1090967.85798817,440597.293048469,188129.503759399,93329.7583892617,46764.2756508423,28038,16468.4905660377,11612,8404.67716535433,7140,6813.16917293233,15423.3226837061,21575.9938080495,22937.6653465347,19317.8517964072,14749.8862275449,16648.5513361463,23774,45177.8213935231,74675,93141.5665171898,112424.464385867,120222,127877.853070175,137908.851520572,131056,125754.437830688,107732,85965,68703,48403,38824,38397.5666666667,33926,26373,17223.8275862069,16815,13914,9524,8313,5798,2638,2547,1750.4347826087,1430,1068.91891891892,1128.06741573034,1469.52380952381,1255.97014925373,1084.11428571429,881,718,724,755,799,1100,1803,2672,4928,8727,18458,34011,54909.8214285714,70879.1081081081,53400,24241,11044,5787,3283,1838,1206,692,472,329,294,303,386,324,392,294,325,364,363,384,452,363,313,490,260,1464,193,139,72,119,189,415,876,1761,3804,4552,4962,3624,1993,1325,1063,1012,902,982,1177,1202,1241,989,716,695,518,624,756,823,742,622,370,362,164,38,210,334,134,0,440,243,313,306,266,200
"US",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.529564265241,128.954961349154,349.434259348885,1205.48413354018,7018.85046728972,61903.0283392756,367469.842993416,1088626.86449187,2448493.64776366,4492275.37981893,5544637.05699886,4999862.78491228,3769899.39397036,2176783.07939875,1220190.12765034,707204.703911497,457552.680365297,332063.893384576,233921.251533742,208450.244308717,193222.880320971,194343.817419326,201139.5037182,247817.397940104,300647.581787109,378506.189821883,465635.585116369,604902.706703548,734399.162969728,740558.973913044,675532.230578609,741044,672220.999427292,709526.122106195,773680.403333491,743621.309571088,888137.305219474,908652.628695328,947864.679605592,788029.275045487,701490.633789181,644459.714122528,609057.240386437,578956.54647741,448612.745451525,406731.091067836,368678.239135949,321089.711633478,280532.798540146,251211.069292807,283660.536604311,255067.812442396,267207.240872893,282612.681407035,274955.649672664,300081.119473001,302541.340129573,462182.954689192,446014,507946.537317103,392157.888083736,471557.823996822,448092,307985.095219588,294646.654012853,285345.361381226,278159.012149764,254372,267025.662226958,227828,170593,126613,152968,175604.333333333,103472,104057,98467,86484,76463.5,93260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74835454146556,145.899794661191,471.134703748488,6854.1279111006,26454.3000573723,82006.3512437811,216313.31865285,284503.006729051,232786.884107371,169565.25988603,123169.127111694,94109.3340531561,70396.2772065124,53371.1466666667,42666.6650390625,40485.2133058985,38996,37339,42171,56397,68656,66946,63217.5188004972,54460.4508680866,41069,32418,25055,18400,17026,12670,23312,15445.4084186576,17752,22662,27549.6387070923,32435,33319,28849,25692,23906,23082,21086,18478,16726,17558,18643,19634,20412,21454,21359,20964,18396,15289,14582,15134,16209,16625,17398,16395,16691,16796,13674,11455,10337,10333,10322,9670,9161,8947,8585,8346,7850,7085,6293,6605,5770,5230,4633,1805,1638,1546,1266,1012,860,759,638,761,934,1006,1041,1078,1550,2090,2316,2672,3234,4002,4747,4658,4260,4856,4936,4945,5061,5924,6132,5603,5482,5448,5261,6102,5079,3939,3121,2623,2446,2132,1915,1653,1496,1218,1380,1119,888,1031,1102,1023,1167,1283,1355,1717,1470,1351,624,578,553,605,600,519,467,327,38,0,0,0
"MX",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1270801815431,33.0752136752135,266.556440903054,663.949367088608,3930.97038724374,13104.2955433933,46388.0249480249,184289.822222222,387805.327751196,400212.243455497,281046.089285714,166125.005912162,86065.3538461538,61499.8862793572,37235.2564417178,21287.7490494297,14024.4778481013,9978.10714285714,6884.8730964467,6523,4733.79512195122,3148.27433628319,3846,3993,4324,5345.89731051345,7750,12218.7358208955,19550,34371,55313,97266,152465,199931.44839549,213873,179887.559668508,122038,80263,53611.3497615262,33244,22956,16411,12055,7691,7673,5199,3878,2867,2657,2840,2896,4403,5670,7419,12749,19203,26720,33950,30816,31856.5106382979,29637,25514,23596,20573,18694,19702,20305,19418,20313,19021,15357,15113,8608,9869,9401,9419,8109,7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,302,547,624,659,728,670,604,550,387,263,219,144,208,134,140,124,92,108,139,125,123,144,183,195,262,403,541,954,902,684,632,469,330
"AU",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4049871023215,305.302570863546,2310.65016047685,15128.4108695652,72322.7417283951,260747.385897054,565746.098969072,448354.994667615,342873.330287803,265353.685743485,199327.862000986,171691.950144509,159968.261918438,160125.126582278,194444.930362117,240801.944636678,326394.1453958,385451.735656836,395982,359765,306184,289282,272054,304061,350375,311716,240429,199964,184472,190954.307799443,204308,0,243697,271605,303029,319779,259334,200397,139178,103184,79985,63392,51273,43401,37578,38674,31327,29620,30363,35763,52310,73573,83407,97897,107902,112016,108322,91518,86989,46003,30909,22041,18922,17067,17927,17814,18262,19780,21681,23014,25521,27650,27055,29966,29431,29663,31859,37720,41012,38896.0357142857,32965.7451923077,22769,16822,13551,10511,7826,6495,5525,5410,5116,5194,5176,5491,5033,5017,5189,5393,5561,4691,5358,6347,7687,10293,10799,10282,9620,9981,10497,11146,10734,9818,11054,10792,9043,7918,8100,7461,7398,7388,6719,6514,5201,4698,4281,4522,4424,4657,4866,6769,8003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8734939759036,66.6508875739645,59.3537906137184,109.777777777778,256.292682926829,271.275362318841,363.970588235294,712.781954887218,1471.42957746479,3491.2109375,11698.232967033,65839,140361.66163142,137160,119858,112755,92674,71244,55640,58325,52916,52539,58157,49841,48148,46082,47762,28175,43542,36180,70398,69674,61169,51603,39002,30700,26682,18411,13074,10756,3178,7219,19616,0,25047,14489,41043,0,19678,21885,24759,31859,37483,39722,0,29469,0,40236,17311,12278,9387,7604,7272,7100,7832,10029,10133,9923,9839,10653,10595,12799,10999,9686,11103,10632,12698,11384,0,19446,7524,0,11979,4609,3741,3114,3079,3869,4527,3287,2804,2899,2767,2478,2372,2420,2919,3200,3460,3530,4508,4897,6405,5615,5524,6136,6323,0,11861,5733,6788,5933,4856,4704,4516,5312,5100,3709,928,800,73357,3185,5735,0,2260,2026,2353,3738,5128,6427,5029,4870,3667,8231,3195,3170,2261,2071,1730,1481,1661,1469
